,Toss_Winner_Id,Toss_Decision,Economy,wickets,EconomyInDeathOvers,WicketsInDeathOvers,tossWonChoseField,chaseWon,Match_Winner_Id,targetScore,requiredScore
0,1,1,6.0,133,6.553999999999999,85,0.42857142857142855,0.2857142857142857,0.0,162,29
1,0,0,7.558,107,8.292,62,0.0,0.5714285714285714,1.0,142,21
2,1,1,7.239,84,8.681000000000001,37,0.8888888888888888,0.4444444444444444,1.0,187,20
3,0,0,7.172000000000001,17,9.443,2,0.2916666666666667,0.3541666666666667,1.0,132,5
4,1,1,7.167999999999999,59,8.288,12,0.4814814814814815,0.5925925925925926,1.0,155,10
5,0,0,7.2010000000000005,61,10.107999999999999,20,0.2916666666666667,0.3541666666666667,0.0,139,9
6,0,0,8.578,5,9.314,2,0.2916666666666667,0.3541666666666667,1.0,151,11
7,0,0,7.875,46,9.423,18,0.4814814814814815,0.5925925925925926,0.0,143,43
8,0,0,6.925,107,8.947000000000001,27,0.6666666666666666,0.6666666666666666,1.0,129,5
9,1,1,8.17,28,10.5,11,0.5849056603773585,0.5283018867924528,1.0,167,10
10,1,1,7.875,46,9.423,18,0.5918367346938775,0.4897959183673469,1.0,152,15
11,0,0,7.886,53,9.165,31,0.5714285714285714,0.7142857142857143,1.0,136,7
12,1,1,7.754,19,9.692,7,0.5918367346938775,0.4897959183673469,0.0,215,44
13,1,1,7.952999999999999,25,10.255,9,0.5714285714285714,0.7142857142857143,1.0,132,4
14,0,0,7.263999999999999,92,8.433,45,0.5454545454545454,0.3636363636363637,0.0,132,11
15,0,0,7.041,46,8.49,13,0.5454545454545454,0.3636363636363637,1.0,168,25
